k,x,f,relerror
0,0.5,6.05e-01,5.63e-01
1,1.2,-5.35e-02,4.83e-02
2,1.143115893756146,1.62e-03,1.41e-03
3,1.144783466052496,-5.36e-05,4.68e-05
4,1.1447299288557278,-4.30e-08,3.76e-08
5,1.1447298858482478,1.15e-12,1.01e-12
6,1.1447298858494002,3.90e-17,0.00e+00
