k,x,f,relerror
0,0.5,6.05e-01,5.63e-01
1,1.385945820261857,-1.89e-01,2.11e-01
2,0.9799869902987312,1.72e-01,1.44e-01
3,1.1424983459128453,2.23e-03,1.95e-03
4,1.1447274341714082,2.45e-06,2.14e-06
5,1.144729885846395,3.01e-12,2.63e-12
6,1.1447298858494002,3.90e-17,0.00e+00
